

cgpa,attendance,communication_skill,technical_skill,aptitude_skill,projects_count,internships_count,certifications_count,resume_score,placed
9.1,95,88,92,85,4,2,3,95,1
8.8,92,82,88,80,3,1,3,90,1
8.5,90,80,85,78,3,1,2,85,1
8.2,88,76,80,75,2,1,2,80,1
8.0,85,75,78,72,2,1,1,76,1
7.8,82,70,75,70,2,1,1,72,1
7.6,80,68,72,68,2,1,1,70,1
7.4,78,65,68,65,1,0,1,65,0
7.2,75,62,65,60,1,0,1,60,0
7.0,72,60,62,58,1,0,0,55,0
6.8,70,58,60,55,1,0,0,52,0
6.5,68,55,58,52,0,0,0,48,0
6.2,65,52,55,50,0,0,0,45,0
8.9,94,85,90,84,4,2,3,92,1
8.6,91,81,86,79,3,1,2,86,1
8.3,87,77,82,76,2,1,2,81,1
7.9,84,73,76,71,2,1,1,74,1
7.5,79,67,70,66,1,0,1,67,0
7.1,74,61,64,59,1,0,0,57,0
6.7,69,56,59,54,0,0,0,50,0
9.0,96,90,91,86,5,2,4,96,1
8.7,93,84,87,82,3,2,2,88,1
8.4,89,79,83,77,3,1,2,83,1
8.1,86,74,79,74,2,1,1,78,1
7.7,81,69,73,69,2,0,1,71,1
7.3,77,64,67,63,1,0,1,62,0
6.9,71,59,61,56,1,0,0,53,0
6.4,66,53,56,51,0,0,0,46,0
9.2,97,91,94,88,5,2,4,98,1
8.0,83,72,74,72,2,0,1,70,1
7.0,70,60,60,55,1,0,0,50,0
6.0,60,48,50,45,0,0,0,40,0
